,SPILL_ID,START_DATE,LAT,LON,COUNTY,SPILL_CAUSE,SPILL CAUSE EXPLAIN,SSO Storm Associated,4-Day Rain,SPILL TYPE,SPILL VOL,SPILL VOL REACH LAND,SPILL VOL RECOVER,SPILL VOL REACH SURF,DIAMETER OF SEWER,MATERIAL SEWER_PIPE,AGE,sm_surface,sm_rootzone,sm_profile,soil_water_infiltration_flux,vegetation_greenness_fraction,surface_temp,surface_pressure
23,814420,2015-04-07 00:01:00,41.752908000000005,-124.161267,Del Norte,Pump Station Failure-Mechanical,Pumps clogged and High Water Alarm did not make call-out,No,65.1257,Category 1,135,0,0,135,6,AC,35,0.44048205,0.44159472,0.41584733100000004,0.000578642,0.9804202320000001,280.56500239999997,97683.85156
1629,814490,2015-04-08 00:00:00,35.55669,-121.08903000000001,San Luis Obispo,Root Intrusion, ,No,12.4241,Category 3,100,100,0,0,8,Clay,40,0.263548315,0.293996125,0.286526978,7.4e-08,0.937647045,284.7995605,99584.57813
1066,814513,2015-04-08 00:00:00,38.55767,-121.75461000000001,Yolo,Root Intrusion, ,No,18.2966,Category 3,30,30,30,0, , , ,0.26074069699999997,0.280812532,0.27554065,2.48e-06,0.93984431,284.6062012,100664.5781
714,814530,2015-04-11 00:00:00,37.85841,-122.23815,Alameda,Root Intrusion,8'' Main plugged due to roots in the main sewer.,No,17.0923,Category 1,3300,0,80,3220,8, , ,0.201661065,0.234195247,0.24775292,1.12e-18,0.95263809,288.3712463,100636.5391
864,814569,2015-04-11 00:00:00,37.991946999999996,-122.118439,Contra Costa,Root Intrusion, ,No,16.7347,Category 1,7710,0,0,7710,8,ac, ,0.182007745,0.220401302,0.23652245100000002,3.9100000000000004e-20,0.947511137,289.07046510000004,100796.5391
954,814579,2015-04-09 18:55:00,37.305479999999996,-122.00751000000001,Santa Clara,Root Intrusion, ,No,19.9321,Category 3,213,23,213,0, , , ,0.280287296,0.325261831,0.314140767,0.0,0.9412241579999999,292.8678589,98327.9375
40,814616,2015-04-07 09:00:00,40.8893,-124.083431,Humboldt,Other (specify below),Construction pea gravel in lateral,No,49.7914,Category 3,30,29,1,0, , , ,0.41945990899999996,0.44242960200000003,0.41354233,1.57e-06,0.982110977,277.04467769999997,98641.39844
1474,814787,2015-04-26 18:40:00,37.966640000000005,-121.2945,San Joaquin,Root Intrusion, ,No,10.4791,Category 3,39,39,39,0, , , ,0.273930997,0.30768954800000003,0.309348077,3.3100000000000003e-21,0.9008808140000001,296.4715271,101749.9375
702,814788,2015-04-27 16:12:00,37.85079,-122.24655,Alameda,Root Intrusion,8'' Main Sewer plugged due to Root Intrusion.,No,10.7219,Category 3,140,140,120,0,8, , ,0.199062705,0.219564512,0.23060444,0.0,0.939686835,292.39163210000004,100639.6563
1730,814792,2015-04-25 00:00:00,34.86869,-120.44715,Santa Barbara,Root Intrusion,"A rain event was occurring at the same time as the SSO, but it was determined the cause was not from I/I.",No,,Category 1,80000,0,115000,80000,12,Clay, ,0.111649476,0.193375304,0.190273136,2.6300000000000004e-13,0.93239969,287.02105710000006,99475.21875
878,814833,2015-04-09 18:45:00,37.894709999999996,-122.10546000000001,Contra Costa,Root Intrusion, ,No,16.9673,Category 3,10,10,0,0, , , ,0.308973819,0.353215933,0.34148451700000004,0.0,0.944153845,291.9733276,100519.9375
