SPILL_ID,START_DATE,LAT,LON,COUNTY,SPILL_CAUSE,SPILL CAUSE EXPLAIN,SSO Storm Associated,SPILL TYPE,SPILL VOL REACH LAND,SPILL VOL,SPILL VOL RECOVER,SPILL VOL REACH SURF,DIAMETER OF SEWER,MATERIAL SEWER_PIPE,AGE
814342,4/1/2015 0:00,37.64352,-118.98075,Mono,Construction Diversion Failure,"After clearing the blockage a sewer plug was found in the downstream manhole. A string was attached at a upper manhole. It seems unlikely that the ball traveled from the upper manhole that the string was found. We believe that it was plugged at the manhole, that overflowed, during construction and not removed. The head pressure from the water above caused the blockage to spill from the manhole. The contractor says he doesn't use that kind of plug.",No,Category 3,600,600,600,0,8,PVC,9
815470,4/1/2015 7:00,38.55239444,-121.3899222,Sacramento,Root intrusion, ,No,Category 3,6,6,3,0, , , 
815471,4/1/2015 7:00,38.57636944,-121.3776028,Sacramento,Root intrusion, ,No,Category 3,2,2,1,0, , , 
814331,4/1/2015 8:00,38.635881,-121.379239,Sacramento,Grease Deposition (FOG), ,No,Category 2,6,2600,2600,0, , , 
814333,4/1/2015 8:25,34.113798,-118.374773,Los Angeles,Root Intrusion, ,No,Category 3,127,127,112,0,8,VCP,87
815474,4/1/2015 11:00,38.57209444,-121.3677583,Sacramento,Root intrusion, ,No,Category 3,3,3,1,0, , , 
815472,4/1/2015 12:00,38.53315278,-121.4286972,Sacramento,Root intrusion, ,No,Category 3,7,7,2,0, , , 
815473,4/1/2015 13:00,38.52895556,-121.4576972,Sacramento,Root intrusion, ,No,Category 3,4,4,1,0, , , 
814597,4/1/2015 16:50,37.80626,-122.42701,San Francisco,Debris-Rags,"Cleaning cloths jammed up both pumps. Operator arrived at wet well level was 4  from the top.  Operator used sump pump to lower the level another 5 , which allowed access to the pipe unions. Then the pumps were lifted out of the well to remove the cloths.",No,Category 3,50,50,0,0,2,, 
814714,4/2/2015 0:00,37.448038,-122.15966,Santa Clara,Root Intrusion, ,No,Category 3,9,9,9,0, , , 
814362,4/2/2015 8:00,37.79315,-122.19767,Alameda,Debris-General,"Sanitary main sewer plugged due to debris, grease and roots.",No,Category 3,360,360,360,0,6,VCP, 
